This file contains mapping from common api tags to language-specific tags
See https://github.com/ZettaScaleLabs/zenoh-tests/tree/tagging/api_matrix for details.

Tag,zenoh,zenoh-c
c.zc_liveliness_subscriber_options_default,,src/liveliness.rs:120:18
c.zc_liveliness_token_check,,src/liveliness.rs:47:18
c.zc_liveliness_token_drop,,src/liveliness.rs:52:18
c.zc_liveliness_token_null,,src/liveliness.rs:40:18
c.zc_liveliness_undeclare_token,,src/liveliness.rs:100:18
c.zc_loaned_liveliness_token_t,,src/opaque_types/mod.rs:368:11
c.zc_owned_liveliness_token_t,,src/opaque_types/mod.rs:363:11
c.zc_owned_shm_manager_t,,src/shm.rs:29:11
c.zc_owned_shm_manager_t.null,,src/shm.rs:47:11
c.zc_owned_shmbuf_t,,src/shm.rs:118:11
c.zc_owned_shmbuf_t.null,,src/shm.rs:137:11
c.zc_query_fifo_new,,src/closures/query_channel.rs:90:25
c.zc_query_non_blocking_fifo_new,,src/closures/query_channel.rs:120:25
c.zc_reply_fifo_new,,src/closures/response_channel.rs:90:25
c.zc_reply_non_blocking_fifo_new,,src/closures/response_channel.rs:120:25
c.zc_session_clone,,src/session.rs:121:18
c.zc_shm_alloc,,src/shm.rs:147:25
c.zc_shm_defrag,,src/shm.rs:108:25
c.zc_shm_gc,,src/shm.rs:93:25
c.zc_shm_manager_check,,src/shm.rs:77:18
c.zc_shm_manager_drop,,src/shm.rs:72:18
c.zc_shm_manager_new,,src/shm.rs:53:18
c.zc_shm_manager_null,,src/shm.rs:82:18
c.zc_shmbuf_capacity,,src/shm.rs:200:25
c.zc_shmbuf_check,,src/shm.rs:170:18
c.zc_shmbuf_drop,,src/shm.rs:164:18
c.zc_shmbuf_into_payload,,src/shm.rs:182:18
